user_id,day,ch1,ch2,treated,kpi
0,2023-11-17,19,4,0,70
0,2023-11-18,62,4,0,27
0,2023-11-19,43,4,0,42
0,2023-11-20,78,4,0,4
0,2023-11-21,77,4,0,21
0,2023-11-22,27,4,0,62
0,2023-11-23,27,4,0,66
0,2023-11-24,80,4,0,0
0,2023-11-25,95,4,0,0
0,2023-11-26,87,4,0,0
0,2023-11-27,35,4,0,64
0,2023-11-28,50,4,0,34
0,2023-11-29,68,4,0,21
0,2023-11-30,71,4,0,25
0,2023-12-01,37,4,0,45
0,2023-12-02,56,4,0,36
0,2023-12-03,50,4,0,50
0,2023-12-04,1,4,0,67
0,2023-12-05,77,4,0,19
0,2023-12-06,88,4,0,0
0,2023-12-07,36,4,0,42
0,2023-12-08,61,4,0,25
0,2023-12-09,7,4,0,66
0,2023-12-10,36,4,0,52
0,2023-12-11,93,4,0,0
0,2023-12-12,65,4,0,27
0,2023-12-13,39,4,0,43
0,2023-12-14,78,4,0,14
0,2023-12-15,31,4,0,61
0,2023-12-16,56,4,0,38
0,2023-12-17,86,4,0,0
0,2023-12-18,43,4,0,40
0,2023-12-19,80,4,0,0
0,2023-12-20,14,4,0,52
0,2023-12-21,70,4,0,2
0,2023-12-22,70,4,0,5
0,2023-12-23,21,4,0,54
0,2023-12-24,92,4,0,0
0,2023-12-25,44,4,0,51
0,2023-12-26,90,4,0,0
0,2023-12-27,5,4,0,50
0,2023-12-28,18,4,0,50
0,2023-12-29,4,4,0,54
0,2023-12-30,67,4,0,20
0,2023-12-31,59,4,0,28
0,2024-01-01,53,4,0,51
0,2024-01-02,4,4,0,50
0,2024-01-03,56,4,0,47
0,2024-01-04,32,4,0,60
0,2024-01-05,50,4,0,28
0,2024-01-06,11,4,0,66
0,2024-01-07,60,4,0,14
0,2024-01-08,56,4,0,29
0,2024-01-09,0,4,0,64
0,2024-01-10,61,4,0,29
0,2024-01-11,91,4,0,0
0,2024-01-12,79,4,0,1
0,2024-01-13,99,4,0,0
0,2024-01-14,95,4,0,0
0,2024-01-15,79,4,0,1
0,2024-01-16,28,4,0,66
0,2024-01-17,62,4,0,36
0,2024-01-18,47,4,0,38
0,2024-01-19,19,4,0,54
0,2024-01-20,38,4,0,57
0,2024-01-21,5,4,0,72
0,2024-01-22,45,4,0,39
0,2024-01-23,98,4,0,0
0,2024-01-24,12,4,0,57
0,2024-01-25,11,4,0,59
0,2024-01-26,73,4,0,4
0,2024-01-27,58,4,0,16
0,2024-01-28,47,4,0,26
0,2024-01-29,10,4,0,72
0,2024-01-30,22,4,0,46
0,2024-01-31,89,4,0,0
0,2024-02-01,41,4,0,62
0,2024-02-02,53,4,0,43
0,2024-02-03,0,4,0,70
0,2024-02-04,30,4,0,45
0,2024-02-05,43,4,0,41
0,2024-02-06,61,4,0,24
0,2024-02-07,91,4,0,0
0,2024-02-08,62,4,0,16
0,2024-02-09,70,4,0,15
0,2024-02-10,14,4,0,63
0,2024-02-11,74,4,0,10
0,2024-02-12,83,4,0,0
0,2024-02-13,63,4,0,16
0,2024-02-14,43,4,0,33
0,2024-02-15,15,4,0,65
0,2024-02-16,56,4,0,46
0,2024-02-17,52,4,0,35
1,2023-11-17,95,5,0,0
1,2023-11-18,48,5,0,38
1,2023-11-19,50,5,0,25
1,2023-11-20,53,5,0,28
1,2023-11-21,81,5,0,1
1,2023-11-22,5,5,0,65
1,2023-11-23,66,5,0,18
1,2023-11-24,76,5,0,16
1,2023-11-25,70,5,0,28
1,2023-11-26,79,5,0,4
1,2023-11-27,55,5,0,44
1,2023-11-28,96,5,0,0
1,2023-11-29,14,5,0,71
1,2023-11-30,2,5,0,51
1,2023-12-01,59,5,0,14
1,2023-12-02,11,5,0,48
1,2023-12-03,95,5,0,0
1,2023-12-04,32,5,0,45
1,2023-12-05,19,5,0,48
1,2023-12-06,45,5,0,56
1,2023-12-07,92,5,0,0
1,2023-12-08,87,5,0,0
1,2023-12-09,25,5,0,49
1,2023-12-10,34,5,0,39
1,2023-12-11,18,5,0,77
1,2023-12-12,90,5,0,0
1,2023-12-13,70,5,0,12
1,2023-12-14,72,5,0,11
1,2023-12-15,90,5,0,0
1,2023-12-16,77,5,0,3
1,2023-12-17,59,5,0,22
1,2023-12-18,29,5,0,62
1,2023-12-19,15,5,0,68
1,2023-12-20,33,5,0,49
1,2023-12-21,65,5,0,12
1,2023-12-22,7,5,0,72
1,2023-12-23,5,5,0,53
1,2023-12-24,32,5,0,36
1,2023-12-25,59,5,0,21
1,2023-12-26,85,5,0,4
1,2023-12-27,28,5,0,65
1,2023-12-28,17,5,0,53
1,2023-12-29,13,5,0,70
1,2023-12-30,99,5,0,0
1,2023-12-31,17,5,0,52
1,2024-01-01,31,5,0,68
1,2024-01-02,56,5,0,47
1,2024-01-03,0,5,0,56
1,2024-01-04,90,5,0,0
1,2024-01-05,97,5,0,0
1,2024-01-06,55,5,0,18
1,2024-01-07,8,5,0,57
1,2024-01-08,33,5,0,46
1,2024-01-09,72,5,0,24
1,2024-01-10,14,5,0,70
1,2024-01-11,55,5,0,38
1,2024-01-12,27,5,0,45
1,2024-01-13,97,5,0,0
1,2024-01-14,66,5,0,8
1,2024-01-15,25,5,0,57
1,2024-01-16,10,5,0,70
1,2024-01-17,77,5,0,20
1,2024-01-18,78,5,0,4
1,2024-01-19,76,5,0,19
1,2024-01-20,91,5,0,0
1,2024-01-21,65,5,0,15
1,2024-01-22,56,5,0,35
1,2024-01-23,20,5,0,72
1,2024-01-24,69,5,0,26
1,2024-01-25,95,5,0,0
